name,affiliation,homepage,scholarid,turing_award,acm_fellow,region,country,begin_time,end_time
Lise Getoor,"University of California, Santa Cruz",https://www.soe.ucsc.edu/people/getoor,Y8-xGncAAAAJ,0,1,america,us,2008,2021.0
Lishan Yang,George Mason University,https://lishanyang.github.io,y_n3bHoAAAAJ,0,0,america,us,2013,2019.0
Liting Hu,"University of California, Santa Cruz",https://people.ucsc.edu/~lhu82,jG2EBooAAAAJ,0,0,america,us,2001,
Liu Liu 0017,Rensselaer Polytechnic Institute,https://liuliu-cs.github.io,_lxwnx4AAAAJ,0,0,america,us,2018,2022.0
Liuba Shrira,Brandeis University,http://www.cs.brandeis.edu/~liuba,tyUShkAAAAAJ,0,0,america,us,2008,2020.0
Lixia Zhang 0001,"University of California, Los Angeles",http://www.cs.ucla.edu/~lixia,CZyWk8kAAAAJ,0,0,america,us,2017,2020.0
Lizhong Chen,Oregon State University,http://web.engr.oregonstate.edu/~chenliz,txM1gcUAAAAJ,0,0,america,us,2000,2022.0
Ljubomir Perkovic,DePaul University,http://www.cdm.depaul.edu/about/Pages/People/facultyinfo.aspx?fid=188,6dwowIYAAAAJ,0,0,america,us,2011,
Lloyd W. Massengill,Vanderbilt University,http://engineering.vanderbilt.edu/bio/lloyd-massengill,4pWpdEIAAAAJ,0,0,america,us,2004,2023.0
Long Cheng 0005,Clemson University,https://people.computing.clemson.edu/~lcheng2,GuaBhicAAAAJ,0,0,america,us,2009,2021.0
Long Lu,Northeastern University,http://www.longlu.org,5whzpxEAAAAJ,0,0,america,us,2013,2019.0
Longfei Shangguan,University of Pittsburgh,https://shanggdlk.github.io,JsQoLTQAAAAJ,0,0,america,us,2006,2020.0
Longin Jan Latecki,Temple University,https://cis.temple.edu/~latecki,6sQtqo8AAAAJ,0,0,america,us,2001,2023.0
Loren Schwiebert,Wayne State University,http://www.cs.wayne.edu/~loren,mP7h9LcAAAAJ,0,0,america,us,2004,2023.0
Lorenzo Alvisi,Cornell University,http://www.cs.utexas.edu/~lorenzo,K_-KJi8AAAAJ,0,1,america,us,2010,2022.0
Lorenzo Orecchia,University of Chicago,http://www.bu.edu/cs/lorenzo-orecchia,dT7yOrwAAAAJ,0,0,america,us,2003,2023.0
Lori L. Pollock,University of Delaware,https://www.eecis.udel.edu/~pollock,fmt12jMAAAAJ,0,0,america,us,2016,
Loris D'Antoni,"University of California, San Diego",https://cseweb.ucsd.edu/~ldantoni,ao8EeJ8AAAAJ,0,0,america,us,2005,2020.0
Lorrie Faith Cranor,Carnegie Mellon University,http://lorrie.cranor.org,kIUqgbcAAAAJ,0,1,america,us,2017,2019.0
Lotus Goldberg,Brandeis University,http://www.brandeis.edu/facultyguide/person.html?emplid=19717dba85e7e7d919456954c1c56642a52e0740,bx2LquQAAAAJ,0,0,america,us,2004,2022.0
Louis L. Whitcomb,Johns Hopkins University,https://dscl.lcsr.jhu.edu,ppn7g_cAAAAJ,0,0,america,us,2011,2023.0
Louis-Noël Pouchet,Colorado State University,https://www.cs.colostate.edu/~pouchet,TCppIZYAAAAJ,0,0,america,us,2007,2019.0
Louis-Philippe Morency,Carnegie Mellon University,https://www.cs.cmu.edu/~morency,APgaFK0AAAAJ,0,0,america,us,2015,2020.0
Lu Feng 0001,University of Virginia,http://www.cs.virginia.edu/~lufeng,HiyMQzEAAAAJ,0,0,america,us,2012,2020.0
Lu Wang 0004,Texas State University,https://cs.txstate.edu/accounts/profiles/tsu9,vL-EZ_IAAAAJ,0,0,america,us,2007,
Lu Zhang 0021,University of Arkansas,http://www.csce.uark.edu/~lz006,06ms8fMAAAAJ,0,0,america,us,2007,2020.0
Luay Nakhleh,Rice University,https://www.cs.rice.edu/~nakhleh,46HLWf8AAAAJ,0,0,america,us,2008,2022.0
Luca Daniel,Massachusetts Institute of Technology,http://www.mit.edu/~dluca,JtPNrS8AAAAJ,0,0,america,us,2000,2019.0
Luca P. Carloni,Columbia University,http://www.cs.columbia.edu/~luca,sEAoh3MAAAAJ,0,0,america,us,2003,2022.0
Luca de Alfaro,"University of California, Santa Cruz",https://users.soe.ucsc.edu/~luca,gkACFVcAAAAJ,0,0,america,us,2003,2019.0
Ludwig Schmidt,University of Washington,https://www.engr.washington.edu/facresearch/newfaculty/2021/schmidt,SWMKy70AAAAJ,0,0,america,us,2005,2019.0
